7,,Everton FC,Premier League,"168,30 Mill. €",26,"338,50 Mill. €",30,"170,20 Mill. €","101,1 %",2014-01-01
8,,West Ham United,Premier League,"96,25 Mill. €",27,"307,50 Mill. €",30,"211,25 Mill. €","219,5 %",2014-01-01
9,,Leicester City,Championship,"29,35 Mill. €",26,"303,00 Mill. €",30,"273,65 Mill. €","932,4 %",2014-01-01
10,,Southampton FC,Premier League,"112,25 Mill. €",23,"235,35 Mill. €",28,"123,10 Mill. €","109,7 %",2014-01-01
11,,Watford FC,Championship,"33,45 Mill. €",29,"189,50 Mill. €",36,"156,05 Mill. €","466,5 %",2014-01-01
12,,Crystal Palace,Premier League,"59,25 Mill. €",32,"181,33 Mill. €",25,"122,08 Mill. €","206,0 %",2014-01-01
13,,Newcastle United,Premier League,"167,25 Mill. €",26,"174,48 Mill. €",29,"7,23 Mill. €","4,3 %",2014-01-01
14,,Burnley FC,Championship,"18,48 Mill. €",22,"156,75 Mill. €",24,"138,28 Mill. €","748,4 %",2014-01-01
15,,Brighton & Hove Albion,Championship,"26,08 Mill. €",28,"154,10 Mill. €",30,"128,03 Mill. €","491,0 %",2014-01-01
16,,AFC Bournemouth,Championship,"13,00 Mill. €",33,"134,75 Mill. €",26,"121,75 Mill. €","936,5 %",2014-01-01
17,,Wolverhampton Wanderers,League One,"23,65 Mill. €",28,"117,30 Mill. €",32,"93,65 Mill. €","396,0 %",2014-01-01
18,,Huddersfield Town,Championship,"13,58 Mill. €",25,"117,10 Mill. €",31,"103,53 Mill. €","762,6 %",2014-01-01
19,,Fulham FC,Premier League,"98,50 Mill. €",26,"116,50 Mill. €",20,"18,00 Mill. €","18,3 %",2014-01-01
20,,Cardiff City,Premier League,"75,00 Mill. €",28,"56,40 Mill. €",32,"-18,60 Mill. €","-24,8 %",2014-01-01
 , ,Total value of all clubs, ,"3,23 Bill. €",542,"7,80 Bill. €  ",0,"4,57 Bill. €","141,3 %",2014-01-01
1,,Manchester City,Premier League,"357,30 Mill. €",27,"1,07 Bill. €",32,"711,20 Mill. €","199,0 %",2011-01-01
2,,Chelsea FC,Premier League,"362,00 Mill. €",23,"967,75 Mill. €",37,"605,75 Mill. €","167,3 %",2011-01-01
3,,Liverpool FC,Premier League,"275,25 Mill. €",25,"912,50 Mill. €",32,"637,25 Mill. €","231,5 %",2011-01-01
4,,Manchester United,Premier League,"369,50 Mill. €",29,"851,00 Mill. €",31,"481,50 Mill. €","130,3 %",2011-01-01
5,,Tottenham Hotspur,Premier League,"292,75 Mill. €",29,"834,50 Mill. €",28,"541,75 Mill. €","185,1 %",2011-01-01
6,,Arsenal FC,Premier League,"298,00 Mill. €",24,"582,70 Mill. €",32,"284,70 Mill. €","95,5 %",2011-01-01
7,,Everton FC,Premier League,"176,40 Mill. €",22,"338,50 Mill. €",30,"162,10 Mill. €","91,9 %",2011-01-01
8,,West Ham United,Premier League,"116,65 Mill. €",30,"307,50 Mill. €",30,"190,85 Mill. €","163,6 %",2011-01-01
9,,Leicester City,Championship,"36,85 Mill. €",32,"303,00 Mill. €",30,"266,15 Mill. €","722,3 %",2011-01-01
10,,Southampton FC,League One,"15,00 Mill. €",27,"235,35 Mill. €",28,"220,35 Mill. €","1,469,0 %",2011-01-01
11,,Watford FC,Championship,"10,50 Mill. €",23,"189,50 Mill. €",36,"179,00 Mill. €","1,704,8 %",2011-01-01
12,,Crystal Palace,Championship,"15,15 Mill. €",28,"181,33 Mill. €",25,"166,18 Mill. €","1,096,9 %",2011-01-01
13,,Newcastle United,Premier League,"78,88 Mill. €",27,"174,48 Mill. €",29,"95,60 Mill. €","121,2 %",2011-01-01
14,,Burnley FC,Championship,"33,38 Mill. €",28,"156,75 Mill. €",24,"123,38 Mill. €","369,7 %",2011-01-01
15,,Brighton & Hove Albion,League One,"6,88 Mill. €",28,"154,10 Mill. €",30,"147,23 Mill. €","2,141,5 %",2011-01-01
16,,AFC Bournemouth,League One,"4,13 Mill. €",27,"134,75 Mill. €",26,"130,63 Mill. €","3,166,7 %",2011-01-01
17,,Wolverhampton Wanderers,Premier League,"71,00 Mill. €",25,"117,30 Mill. €",32,"46,30 Mill. €","65,2 %",2011-01-01
18,,Huddersfield Town,League One,"10,70 Mill. €",24,"117,10 Mill. €",31,"106,40 Mill. €","994,4 %",2011-01-01
19,,Fulham FC,Premier League,"100,25 Mill. €",28,"116,50 Mill. €",20,"16,25 Mill. €","16,2 %",2011-01-01
20,,Cardiff City,Championship,"33,60 Mill. €",24,"56,40 Mill. €",32,"22,80 Mill. €","67,9 %",2011-01-01
 , ,Total value of all clubs, ,"2,66 Bill. €",530,"7,80 Bill. €  ",0,"5,14 Bill. €","192,8 %",2011-01-01
1,,Manchester City,Premier League,"498,75 Mill. €",26,"1,07 Bill. €",32,"569,75 Mill. €","114,2 %",2013-01-01
2,,Chelsea FC,Premier League,"392,00 Mill. €",25,"967,75 Mill. €",37,"575,75 Mill. €","146,9 %",2013-01-01
3,,Liverpool FC,Premier League,"239,80 Mill. €",25,"912,50 Mill. €",32,"672,70 Mill. €","280,5 %",2013-01-01
4,,Manchester United,Premier League,"440,00 Mill. €",27,"851,00 Mill. €",31,"411,00 Mill. €","93,4 %",2013-01-01
5,,Tottenham Hotspur,Premier League,"266,00 Mill. €",27,"834,50 Mill. €",28,"568,50 Mill. €","213,7 %",2013-01-01
6,,Arsenal FC,Premier League,"286,25 Mill. €",27,"582,70 Mill. €",32,"296,45 Mill. €","103,6 %",2013-01-01
7,,Everton FC,Premier League,"129,50 Mill. €",23,"338,50 Mill. €",30,"209,00 Mill. €","161,4 %",2013-01-01
8,,West Ham United,Premier League,"88,70 Mill. €",22,"307,50 Mill. €",30,"218,80 Mill. €","246,7 %",2013-01-01
9,,Leicester City,Championship,"26,15 Mill. €",25,"303,00 Mill. €",30,"276,85 Mill. €","1,058,7 %",2013-01-01
10,,Southampton FC,Premier League,"70,00 Mill. €",26,"235,35 Mill. €",28,"165,35 Mill. €","236,2 %",2013-01-01
11,,Watford FC,Championship,"21,65 Mill. €",34,"189,50 Mill. €",36,"167,85 Mill. €","775,3 %",2013-01-01
12,,Crystal Palace,Championship,"18,70 Mill. €",29,"181,33 Mill. €",25,"162,63 Mill. €","869,7 %",2013-01-01
13,,Newcastle United,Premier League,"158,00 Mill. €",28,"174,48 Mill. €",29,"16,48 Mill. €","10,4 %",2013-01-01
14,,Burnley FC,Championship,"20,63 Mill. €",29,"156,75 Mill. €",24,"136,13 Mill. €","660,0 %",2013-01-01
15,,Brighton & Hove Albion,Championship,"24,80 Mill. €",30,"154,10 Mill. €",30,"129,30 Mill. €","521,4 %",2013-01-01
16,,AFC Bournemouth,League One,"6,85 Mill. €",34,"134,75 Mill. €",26,"127,90 Mill. €","1,867,2 %",2013-01-01
17,,Wolverhampton Wanderers,Championship,"71,80 Mill. €",30,"117,30 Mill. €",32,"45,50 Mill. €","63,4 %",2013-01-01
18,,Huddersfield Town,Championship,"15,83 Mill. €",27,"117,10 Mill. €",31,"101,28 Mill. €","640,0 %",2013-01-01
19,,Fulham FC,Premier League,"85,60 Mill. €",28,"116,50 Mill. €",20,"30,90 Mill. €","36,1 %",2013-01-01
20,,Cardiff City,Championship,"31,40 Mill. €",27,"56,40 Mill. €",32,"25,00 Mill. €","79,6 %",2013-01-01
 , ,Total value of all clubs, ,"2,89 Bill. €",549,"7,80 Bill. €  ",0,"4,91 Bill. €","169,7 %",2013-01-01
1,,Manchester City,Premier League,"440,50 Mill. €",25,"1,07 Bill. €",32,"628,00 Mill. €","142,6 %",2015-01-01
2,,Chelsea FC,Premier League,"447,75 Mill. €",26,"967,75 Mill. €",37,"520,00 Mill. €","116,1 %",2015-01-01
3,,Liverpool FC,Premier League,"331,50 Mill. €",25,"912,50 Mill. €",32,"581,00 Mill. €","175,3 %",2015-01-01
4,,Manchester United,Premier League,"461,00 Mill. €",27,"851,00 Mill. €",31,"390,00 Mill. €","84,6 %",2015-01-01
5,,Tottenham Hotspur,Premier League,"266,25 Mill. €",31,"834,50 Mill. €",28,"568,25 Mill. €","213,4 %",2015-01-01
6,,Arsenal FC,Premier League,"411,30 Mill. €",28,"582,70 Mill. €",32,"171,40 Mill. €","41,7 %",2015-01-01
7,,Everton FC,Premier League,"168,25 Mill. €",24,"338,50 Mill. €",30,"170,25 Mill. €","101,2 %",2015-01-01
8,,West Ham United,Premier League,"112,25 Mill. €",25,"307,50 Mill. €",30,"195,25 Mill. €","173,9 %",2015-01-01
9,,Leicester City,Premier League,"54,25 Mill. €",27,"303,00 Mill. €",30,"248,75 Mill. €","458,5 %",2015-01-01
10,,Southampton FC,Premier League,"152,75 Mill. €",24,"235,35 Mill. €",28,"82,60 Mill. €","54,1 %",2015-01-01
11,,Watford FC,Championship,"37,35 Mill. €",31,"189,50 Mill. €",36,"152,15 Mill. €","407,4 %",2015-01-01
12,,Crystal Palace,Premier League,"76,25 Mill. €",30,"181,33 Mill. €",25,"105,08 Mill. €","137,8 %",2015-01-01
13,,Newcastle United,Premier League,"126,25 Mill. €",31,"174,48 Mill. €",29,"48,23 Mill. €","38,2 %",2015-01-01
14,,Burnley FC,Premier League,"45,00 Mill. €",27,"156,75 Mill. €",24,"111,75 Mill. €","248,3 %",2015-01-01
15,,Brighton & Hove Albion,Championship,"19,60 Mill. €",25,"154,10 Mill. €",30,"134,50 Mill. €","686,2 %",2015-01-01
16,,AFC Bournemouth,Championship,"19,20 Mill. €",32,"134,75 Mill. €",26,"115,55 Mill. €","601,8 %",2015-01-01
17,,Wolverhampton Wanderers,Championship,"24,73 Mill. €",30,"117,30 Mill. €",32,"92,58 Mill. €","374,4 %",2015-01-01
18,,Huddersfield Town,Championship,"18,40 Mill. €",32,"117,10 Mill. €",31,"98,70 Mill. €","536,4 %",2015-01-01
19,,Fulham FC,Championship,"42,45 Mill. €",34,"116,50 Mill. €",20,"74,05 Mill. €","174,4 %",2015-01-01
20,,Cardiff City,Championship,"53,55 Mill. €",28,"56,40 Mill. €",32,"2,85 Mill. €","5,3 %",2015-01-01
 , ,Total value of all clubs, ,"3,31 Bill. €",562,"7,80 Bill. €  ",0,"4,49 Bill. €","135,7 %",2015-01-01
1,,Manchester City,Premier League,"514,50 Mill. €",24,"1,07 Bill. €",32,"554,00 Mill. €","107,7 %",2016-01-01
2,,Chelsea FC,Premier League,"542,50 Mill. €",25,"967,75 Mill. €",37,"425,25 Mill. €","78,4 %",2016-01-01
3,,Liverpool FC,Premier League,"356,40 Mill. €",27,"912,50 Mill. €",32,"556,10 Mill. €","156,0 %",2016-01-01
4,,Manchester United,Premier League,"393,25 Mill. €",25,"851,00 Mill. €",31,"457,75 Mill. €","116,4 %",2016-01-01
5,,Tottenham Hotspur,Premier League,"297,00 Mill. €",25,"834,50 Mill. €",28,"537,50 Mill. €","181,0 %",2016-01-01
6,,Arsenal FC,Premier League,"402,00 Mill. €",24,"582,70 Mill. €",32,"180,70 Mill. €","45,0 %",2016-01-01
7,,Everton FC,Premier League,"208,50 Mill. €",28,"338,50 Mill. €",30,"130,00 Mill. €","62,4 %",2016-01-01
8,,West Ham United,Premier League,"168,25 Mill. €",26,"307,50 Mill. €",30,"139,25 Mill. €","82,8 %",2016-01-01
9,,Leicester City,Premier League,"100,00 Mill. €",25,"303,00 Mill. €",30,"203,00 Mill. €","203,0 %",2016-01-01
10,,Southampton FC,Premier League,"193,75 Mill. €",26,"235,35 Mill. €",28,"41,60 Mill. €","21,5 %",2016-01-01
11,,Watford FC,Premier League,"86,20 Mill. €",31,"189,50 Mill. €",36,"103,30 Mill. €","119,8 %",2016-01-01
12,,Crystal Palace,Premier League,"121,00 Mill. €",28,"181,33 Mill. €",25,"60,33 Mill. €","49,9 %",2016-01-01
13,,Newcastle United,Premier League,"167,25 Mill. €",30,"174,48 Mill. €",29,"7,23 Mill. €","4,3 %",2016-01-01
14,,Burnley FC,Championship,"43,50 Mill. €",27,"156,75 Mill. €",24,"113,25 Mill. €","260,3 %",2016-01-01
15,,Brighton & Hove Albion,Championship,"32,68 Mill. €",28,"154,10 Mill. €",30,"121,43 Mill. €","371,6 %",2016-01-01
16,,AFC Bournemouth,Premier League,"59,75 Mill. €",29,"134,75 Mill. €",26,"75,00 Mill. €","125,5 %",2016-01-01
17,,Wolverhampton Wanderers,Championship,"27,58 Mill. €",29,"117,30 Mill. €",32,"89,73 Mill. €","325,4 %",2016-01-01
18,,Huddersfield Town,Championship,"12,70 Mill. €",24,"117,10 Mill. €",31,"104,40 Mill. €","822,0 %",2016-01-01
19,,Fulham FC,Championship,"34,70 Mill. €",30,"116,50 Mill. €",20,"81,80 Mill. €","235,7 %",2016-01-01
20,,Cardiff City,Championship,"43,25 Mill. €",26,"56,40 Mill. €",32,"13,15 Mill. €","30,4 %",2016-01-01
 , ,Total value of all clubs, ,"3,80 Bill. €",537,"7,80 Bill. €  ",0,"3,99 Bill. €","105,0 %",2016-01-01
1,,Manchester City,Premier League,"433,50 Mill. €",25,"1,07 Bill. €",32,"635,00 Mill. €","146,5 %",2012-01-01
2,,Chelsea FC,Premier League,"421,00 Mill. €",26,"967,75 Mill. €",37,"546,75 Mill. €","129,9 %",2012-01-01
3,,Liverpool FC,Premier League,"244,00 Mill. €",24,"912,50 Mill. €",32,"668,50 Mill. €","274,0 %",2012-01-01
4,,Manchester United,Premier League,"405,30 Mill. €",28,"851,00 Mill. €",31,"445,70 Mill. €","110,0 %",2012-01-01
5,,Tottenham Hotspur,Premier League,"274,55 Mill. €",26,"834,50 Mill. €",28,"559,95 Mill. €","204,0 %",2012-01-01
6,,Arsenal FC,Premier League,"291,30 Mill. €",31,"582,70 Mill. €",32,"291,40 Mill. €","100,0 %",2012-01-01
7,,Everton FC,Premier League,"141,50 Mill. €",23,"338,50 Mill. €",30,"197,00 Mill. €","139,2 %",2012-01-01
8,,West Ham United,Championship,"73,90 Mill. €",28,"307,50 Mill. €",30,"233,60 Mill. €","316,1 %",2012-01-01
9,,Leicester City,Championship,"38,90 Mill. €",26,"303,00 Mill. €",30,"264,10 Mill. €","678,9 %",2012-01-01
10,,Southampton FC,Championship,"18,73 Mill. €",29,"235,35 Mill. €",28,"216,63 Mill. €","1,156,9 %",2012-01-01
11,,Watford FC,Championship,"17,48 Mill. €",28,"189,50 Mill. €",36,"172,03 Mill. €","984,4 %",2012-01-01
12,,Crystal Palace,Championship,"21,53 Mill. €",33,"181,33 Mill. €",25,"159,80 Mill. €","742,4 %",2012-01-01
13,,Newcastle United,Premier League,"104,00 Mill. €",27,"174,48 Mill. €",29,"70,48 Mill. €","67,8 %",2012-01-01
14,,Burnley FC,Championship,"24,35 Mill. €",24,"156,75 Mill. €",24,"132,40 Mill. €","543,7 %",2012-01-01
15,,Brighton & Hove Albion,Championship,"10,43 Mill. €",28,"154,10 Mill. €",30,"143,68 Mill. €","1,378,2 %",2012-01-01
16,,AFC Bournemouth,League One,"4,43 Mill. €",32,"134,75 Mill. €",26,"130,33 Mill. €","2,945,2 %",2012-01-01
17,,Wolverhampton Wanderers,Premier League,"72,75 Mill. €",22,"117,30 Mill. €",32,"44,55 Mill. €","61,2 %",2012-01-01
