,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
2,Forward,2538,"31,90 Mill. €","3,99 Mill. €",,Aston Villa,2006,31900000
3,Total:,2503,"101,18 Mill. €","2,98 Mill. €",,Aston Villa,2006,101180000
0,Goalkeeper,2600,"8,80 Mill. €","2,93 Mill. €",,Aston Villa,2007,8800000
1,Defender,2514,"24,00 Mill. €","3,43 Mill. €",,Aston Villa,2007,24000000
2,Forward,2217,"19,20 Mill. €","3,20 Mill. €",,Aston Villa,2007,19200000
3,Total:,2416,"85,80 Mill. €","3,43 Mill. €",,Aston Villa,2007,85800000
0,Goalkeeper,2900,"4,90 Mill. €","1,63 Mill. €",,Aston Villa,2008,4900000
1,Defender,2436,"37,95 Mill. €","3,45 Mill. €",,Aston Villa,2008,37950000
2,Forward,2450,"29,10 Mill. €","4,85 Mill. €",,Aston Villa,2008,29100000
3,Total:,2409,"123,95 Mill. €","3,87 Mill. €",,Aston Villa,2008,123950000
0,Goalkeeper,3200,"5,50 Mill. €","1,83 Mill. €",,Aston Villa,2009,5500000
1,Defender,2636,"53,50 Mill. €","4,86 Mill. €",,Aston Villa,2009,53500000
2,Forward,2580,"33,95 Mill. €","6,79 Mill. €",,Aston Villa,2009,33950000
3,Total:,2552,"160,40 Mill. €","5,17 Mill. €",,Aston Villa,2009,160400000
0,Goalkeeper,3300,"5,25 Mill. €","1,75 Mill. €",,Aston Villa,2010,5250000
1,Defender,2500,"50,93 Mill. €","4,24 Mill. €",,Aston Villa,2010,50930000
2,Forward,2467,"48,50 Mill. €","8,08 Mill. €",,Aston Villa,2010,48500000
3,Total:,2510,"207,75 Mill. €","5,33 Mill. €",,Aston Villa,2010,207750000
0,Goalkeeper,3233,"6,75 Mill. €","2,25 Mill. €",,Aston Villa,2011,6750000
1,Defender,2531,"51,05 Mill. €","3,93 Mill. €",,Aston Villa,2011,51050000
2,Forward,2438,"55,50 Mill. €","6,94 Mill. €",,Aston Villa,2011,55500000
3,Total:,2457,"157,60 Mill. €","4,26 Mill. €",,Aston Villa,2011,157600000
0,Goalkeeper,3333,"5,25 Mill. €","1,75 Mill. €",,Aston Villa,2012,5250000
1,Defender,2333,"16,95 Mill. €","1,88 Mill. €",,Aston Villa,2012,16950000
2,Forward,2256,"48,28 Mill. €","5,36 Mill. €",,Aston Villa,2012,48280000
3,Total:,2373,"101,03 Mill. €","3,06 Mill. €",,Aston Villa,2012,101030000
0,Goalkeeper,2833,"5,50 Mill. €","1,83 Mill. €",,Aston Villa,2013,5500000
1,Defender,2350,"34,75 Mill. €","2,90 Mill. €",,Aston Villa,2013,34750000
2,Forward,2409,"55,30 Mill. €","5,03 Mill. €",,Aston Villa,2013,55300000
3,Total:,2372,"116,30 Mill. €","3,23 Mill. €",,Aston Villa,2013,116300000
0,Goalkeeper,2933,"7,00 Mill. €","2,33 Mill. €",,Aston Villa,2014,7000000
1,Defender,2454,"33,50 Mill. €","2,58 Mill. €",,Aston Villa,2014,33500000
2,Forward,2227,"44,75 Mill. €","4,07 Mill. €",,Aston Villa,2014,44750000
3,Total:,2434,"127,00 Mill. €","3,34 Mill. €",,Aston Villa,2014,127000000
0,Goalkeeper,2500,"6,75 Mill. €","1,35 Mill. €",,Aston Villa,2015,6750000
1,Defender,2419,"41,30 Mill. €","2,58 Mill. €",,Aston Villa,2015,41300000
2,Forward,2138,"30,25 Mill. €","2,33 Mill. €",,Aston Villa,2015,30250000
3,Total:,2350,"112,30 Mill. €","2,55 Mill. €",,Aston Villa,2015,112300000
0,Goalkeeper,2320,"3,50 Mill. €",700 Th. €,,Aston Villa,2016,3500000
1,Defender,2582,"40,70 Mill. €","3,70 Mill. €",,Aston Villa,2016,40700000
2,Forward,2336,"44,50 Mill. €","3,18 Mill. €",,Aston Villa,2016,44500000
